sequence_id,position,gc_content
MZ781228.1,250,16.2
MZ781228.1,300,15.2
MZ781228.1,350,16.2
MZ781228.1,400,16.8
MZ781228.1,450,16.0
MZ781228.1,500,17.8
MZ781228.1,550,18.4
MZ781228.1,600,17.2
MZ781228.1,650,15.8
MZ781228.1,700,14.2
MZ781228.1,750,16.4
MZ781228.1,800,15.4
MZ781228.1,850,13.2
MZ781228.1,900,12.2
MZ781228.1,950,12.0
MZ781228.1,1000,10.8
MZ781228.1,1050,10.6
MZ781228.1,1100,11.6
MZ781228.1,1150,12.8
MZ781228.1,1200,14.2
MZ781228.1,1250,13.4
MZ781228.1,1300,15.6
MZ781228.1,1350,17.4
MZ781228.1,1400,18.6
MZ781228.1,1450,22.0
MZ781228.1,1500,23.8
MZ781228.1,1550,25.8
MZ781228.1,1600,27.8
MZ781228.1,1650,29.0
MZ781228.1,1700,28.2
MZ781228.1,1750,29.0
MZ781228.1,1800,29.6
MZ781228.1,1850,29.6
MZ781228.1,1900,31.2
MZ781228.1,1950,29.8
MZ781228.1,2000,29.4
MZ781228.1,2050,29.0
MZ781228.1,2100,29.0
MZ781228.1,2150,28.6
MZ781228.1,2200,29.8
MZ781228.1,2250,29.8
MZ781228.1,2300,29.2
MZ781228.1,2350,29.8
MZ781228.1,2400,29.0
MZ781228.1,2450,28.0
MZ781228.1,2500,28.8
MZ781228.1,2550,28.4
MZ781228.1,2600,25.2
MZ781228.1,2650,24.6
MZ781228.1,2700,25.0
MZ781228.1,2750,24.4
MZ781228.1,2800,24.8
MZ781228.1,2850,23.8
MZ781228.1,2900,22.8
MZ781228.1,2950,22.0
MZ781228.1,3000,20.8
MZ781228.1,3050,21.2
MZ781228.1,3100,22.4
MZ781228.1,3150,22.4
MZ781228.1,3200,20.8
MZ781228.1,3250,20.6
MZ781228.1,3300,20.2
MZ781228.1,3350,21.2
MZ781228.1,3400,22.6
MZ781228.1,3450,23.4
MZ781228.1,3500,23.6
MZ781228.1,3550,23.2
MZ781228.1,3600,22.4
MZ781228.1,3650,21.8
MZ781228.1,3700,20.4
MZ781228.1,3750,18.8
MZ781228.1,3800,17.8
MZ781228.1,3850,15.8
MZ781228.1,3900,15.2
MZ781228.1,3950,14.8
MZ781228.1,4000,14.0
MZ781228.1,4050,12.8
MZ781228.1,4100,13.6
MZ781228.1,4150,13.6
MZ781228.1,4200,16.0
MZ781228.1,4250,18.8
